drug1_name,drug2_name,smiles1,smiles2,interaction_type,severity
Alfuzosin,Pirbuterol,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O,Alfuzosin may decrease the vasoconstricting activities of Pirbuterol.,mild
Amrubicin,Seratrodast,CC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)OC5CC(C(CO5)O)O)N,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,Amrubicin may decrease the excretion rate of Seratrodast which could result in a,moderate
Levomilnacipran,Tryptophan,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,Levomilnacipran may increase the serotonergic activities of Tryptophan.,dangerous
Nimesulide,Chlorthalidone,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,The therapeutic efficacy of Chlorthalidone can be decreased when used in combina,mild
Vilazodone,Cinacalcet,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,The metabolism of Cinacalcet can be decreased when combined with Vilazodone.,moderate
Ropinirole,Sacubitril,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,CCOC(=O)C(C)CC(CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)O,The risk or severity of adverse effects can be increased when Ropinirole is comb,dangerous
Methadone,Ergometrine,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,The risk or severity of adverse effects can be increased when Methadone is combi,dangerous
Rifapentine,Methohexital,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C,The metabolism of Methohexital can be increased when combined with Rifapentine.,dangerous
Risperidone,Protriptyline,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,Risperidone may decrease the antihypertensive activities of Protriptyline.,mild
Griseofulvin,Dienogest,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O,The serum concentration of Dienogest can be decreased when it is combined with G,moderate
Celiprolol,Magnesium salicylate,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C,C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2],Celiprolol may decrease the antihypertensive activities of Magnesium salicylate.,mild
Labetalol,Pirbuterol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O,Labetalol may decrease the vasoconstricting activities of Pirbuterol.,mild
Dienestrol,Levothyroxine,CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,The therapeutic efficacy of Levothyroxine can be decreased when used in combinat,mild
Pinaverium,Cimetidine,CC1(C2CCC(C1C2)CCOCC[N+]3(CCOCC3)CC4=CC(=C(C=C4Br)OC)OC)C,CC1=C(N=CN1)CSCCNC(=NC)NC#N,The serum concentration of Cimetidine can be increased when it is combined with ,dangerous
Hydroflumethiazide,Metformin,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,CN(C)C(=N)N=C(N)N,The therapeutic efficacy of Metformin can be decreased when used in combination ,mild
Chlorothiazide,Vildagliptin,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,C1CC(N(C1)C(=O)CNC23CC4CC(C2)CC(C4)(C3)O)C#N,The therapeutic efficacy of Vildagliptin can be decreased when used in combinati,mild
Primidone,Drospirenone,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C,The therapeutic efficacy of Drospirenone can be decreased when used in combinati,mild
Timolol,Vilanterol,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,C1=CC(=C(C(=C1)Cl)COCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O)Cl,Timolol may decrease the bronchodilatory activities of Vilanterol.,mild
Buspirone,Cimetidine,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,CC1=C(N=CN1)CSCCNC(=NC)NC#N,The metabolism of Cimetidine can be decreased when combined with Buspirone.,moderate
Eprosartan,Etofenamate,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O,C1=CC=C(C(=C1)C(=O)OCCOCCO)NC2=CC=CC(=C2)C(F)(F)F,The risk or severity of adverse effects can be increased when Eprosartan is comb,dangerous
Celecoxib,Floxuridine,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,The metabolism of Floxuridine can be decreased when combined with Celecoxib.,moderate
Niacin,Rosuvastatin,C1=CC(=CN=C1)C(=O)O,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,The risk or severity of adverse effects can be increased when Niacin is combined,dangerous
Neostigmine,Profenamine,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31,The therapeutic efficacy of Profenamine can be decreased when used in combinatio,mild
Imipramine,Cyamemazine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)C#N)CN(C)C,The risk or severity of adverse effects can be increased when Imipramine is comb,dangerous
Quinethazone,Rosiglitazone,CCC1NC2=CC(=C(C=C2C(=O)N1)S(=O)(=O)N)Cl,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,The therapeutic efficacy of Rosiglitazone can be decreased when used in combinat,mild
Fenofibrate,Indinavir,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,The metabolism of Indinavir can be decreased when combined with Fenofibrate.,moderate
Flucloxacillin,Picosulfuric acid,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)O)C3=CC=C(C=C3)OS(=O)(=O)O,The therapeutic efficacy of Picosulfuric acid can be decreased when used in comb,mild
Esmolol,Deslanoside,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)O)O,Esmolol may increase the bradycardic activities of Deslanoside.,dangerous
Edetic acid,Quinestrol,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5,Edetic acid may decrease the anticoagulant activities of Quinestrol.,mild
Calcium Phosphate,Chlorthalidone,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2],C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,Calcium Phosphate may decrease the excretion rate of Chlorthalidone which could ,moderate
Tromethamine,Prednisolone,C(C(CO)(CO)N)O,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,The bioavailability of Prednisolone can be decreased when combined with Trometha,moderate
Chlorpropamide,Efavirenz,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,The metabolism of Efavirenz can be decreased when combined with Chlorpropamide.,moderate
Estradiol,Chlorpropamide,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,The therapeutic efficacy of Chlorpropamide can be decreased when used in combina,mild
Calcium glucoheptonate,Clevidipine,C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.[Ca+2],CCCC(=O)OCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,The therapeutic efficacy of Clevidipine can be decreased when used in combinatio,mild
Phenytoin,Exemestane,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,The serum concentration of Exemestane can be decreased when it is combined with ,moderate
Pazopanib,Thiothixene,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,Pazopanib may increase the QTc-prolonging activities of Thiothixene.,dangerous
Riociguat,Olaparib,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,The metabolism of Olaparib can be decreased when combined with Riociguat.,moderate
Rivastigmine,Gallamine triethiodide,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC.[I-].[I-].[I-],The therapeutic efficacy of Gallamine triethiodide can be decreased when used in,mild
Spironolactone,Choline magnesium trisalicylate,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,C[N+](C)(C)CCO.C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2],Spironolactone may decrease the antihypertensive activities of Choline magnesium,mild
Fluticasone propionate,Levocetirizine,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,The risk or severity of adverse effects can be increased when Fluticasone propio,dangerous
Meprobamate,Dronabinol,CCCC(C)(COC(=O)N)COC(=O)N,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,Meprobamate may increase the central nervous system depressant (CNS depressant) ,dangerous
Phentermine,Clemastine,CC(C)(CC1=CC=CC=C1)N,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,Phentermine may decrease the sedative activities of Clemastine.,mild
Gemfibrozil,Ursodeoxycholic acid,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,The therapeutic efficacy of Ursodeoxycholic acid can be decreased when used in c,mild
Trovafloxacin,Magnesium hydroxide,C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,[OH-].[OH-].[Mg+2],Trovafloxacin can cause a decrease in the absorption of Magnesium hydroxide resu,moderate
Saquinavir,Ranitidine,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,The serum concentration of Ranitidine can be increased when it is combined with ,dangerous
Difluprednate,Posaconazole,CCCC(=O)OC1(CCC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C(=O)COC(=O)C,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,The serum concentration of Posaconazole can be increased when it is combined wit,dangerous
Metoclopramide,Biperiden,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,The therapeutic efficacy of Biperiden can be decreased when used in combination ,mild
Xylometazoline,Fluconazole,CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,The serum concentration of Fluconazole can be increased when it is combined with,dangerous
Ketoprofen,Clotrimazole,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,The metabolism of Clotrimazole can be decreased when combined with Ketoprofen.,moderate
Labetalol,Meloxicam,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,Labetalol may decrease the antihypertensive activities of Meloxicam.,mild
Enzalutamide,Isosorbide mononitrate,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O,The serum concentration of Isosorbide mononitrate can be decreased when it is co,moderate
Primidone,Flibanserin,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F,The serum concentration of Flibanserin can be decreased when it is combined with,moderate
Amsacrine,Lorcaserin,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,CC1CNCCC2=C1C=C(C=C2)Cl,The metabolism of Lorcaserin can be decreased when combined with Amsacrine.,moderate
Carbinoxamine,Flibanserin,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F,The risk or severity of adverse effects can be increased when Carbinoxamine is c,dangerous
Mephentermine,Zotepine,CC(C)(CC1=CC=CC=C1)NC,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Mephentermine may decrease the stimulatory activities of Zotepine.,mild
Encainide,Mirabegron,CN1CCCCC1CCC2=CC=CC=C2NC(=O)C3=CC=C(C=C3)OC,C1=CC=C(C=C1)C(CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O,The metabolism of Mirabegron can be decreased when combined with Encainide.,moderate
Rolapitant,Olaparib,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OCC2(CCC3(CCC(=O)N3)CN2)C4=CC=CC=C4,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,The metabolism of Olaparib can be decreased when combined with Rolapitant.,moderate
Deferasirox,Desvenlafaxine,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,The serum concentration of Desvenlafaxine can be decreased when it is combined w,moderate
Bisoprolol,Ziprasidone,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,The metabolism of Ziprasidone can be decreased when combined with Bisoprolol.,moderate
Olsalazine,Chlorothiazide,C1=CC(=C(C=C1N=NC2=CC(=C(C=C2)O)C(=O)O)C(=O)O)O,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,The therapeutic efficacy of Chlorothiazide can be decreased when used in combina,mild
Everolimus,Nitrendipine,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,The serum concentration of Nitrendipine can be increased when it is combined wit,dangerous
Arotinolol,Carprofen,CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,Arotinolol may decrease the antihypertensive activities of Carprofen.,mild
Lumefantrine,Histrelin,CCCCN(CCCC)CC(C1=CC(=CC2=C1C3=C(C2=CC4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC2=CN(C=N2)CC3=CC=CC=C3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CC7=CN=CN7)NC(=O)C8CCC(=O)N8,Lumefantrine may increase the QTc-prolonging activities of Histrelin.,dangerous
Lapatinib,Digoxin,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,Lapatinib may decrease the cardiotoxic activities of Digoxin.,dangerous
Magnesium trisilicate,Methenamine,[O-][Si](=O)O[Si]([O-])([O-])O[Si](=O)[O-].[Mg+2].[Mg+2],C1N2CN3CN1CN(C2)C3,The therapeutic efficacy of Methenamine can be decreased when used in combinatio,mild
Sufentanil,Itraconazole,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,The metabolism of Itraconazole can be decreased when combined with Sufentanil.,moderate
Acetylsalicylic acid,Chlorothiazide,CC(=O)OC1=CC=CC=C1C(=O)O,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,The therapeutic efficacy of Chlorothiazide can be decreased when used in combina,mild
Bromocriptine,Ketoconazole,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,The metabolism of Ketoconazole can be decreased when combined with Bromocriptine,moderate
Permethrin,Sulfisoxazole,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,The metabolism of Sulfisoxazole can be decreased when combined with Permethrin.,moderate
Allylestrenol,Pentaerythritol tetranitrate,CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],The therapeutic efficacy of Pentaerythritol tetranitrate can be decreased when u,mild
Diphenoxylate,Furazolidone,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,C1COC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],The risk or severity of adverse effects can be increased when Diphenoxylate is c,dangerous
Remoxipride,Triprolidine,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2OC)Br)OC,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC=N3,The risk or severity of adverse effects can be increased when Remoxipride is com,dangerous
Triflupromazine,Aluminium,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,[Al],Triflupromazine can cause a decrease in the absorption of Aluminium resulting in,moderate
Dorzolamide,Boceprevir,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,The metabolism of Boceprevir can be decreased when combined with Dorzolamide.,moderate
Etodolac,Epirizole,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,The risk or severity of adverse effects can be increased when Etodolac is combin,dangerous
Clomipramine,Delavirdine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,The metabolism of Delavirdine can be decreased when combined with Clomipramine.,moderate
Mianserin,Meprobamate,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,CCCC(C)(COC(=O)N)COC(=O)N,The therapeutic efficacy of Meprobamate can be decreased when used in combinatio,mild
Metamfetamine,Benzatropine,CC(CC1=CC=CC=C1)NC,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,Metamfetamine may decrease the sedative activities of Benzatropine.,mild
Triamterene,Deslanoside,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)O)O,The therapeutic efficacy of Deslanoside can be decreased when used in combinatio,mild
Cyproterone acetate,Hesperetin,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,The serum concentration of Hesperetin can be decreased when it is combined with ,moderate
Indapamide,Sertraline,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,Indapamide may increase the hyponatremic activities of Sertraline.,dangerous
Sodium glycerophosphate,Magnesium trisilicate,C(C(COP(=O)([O-])[O-])O)O.[Na+].[Na+],[O-][Si](=O)O[Si]([O-])([O-])O[Si](=O)[O-].[Mg+2].[Mg+2],Sodium glycerophosphate can cause a decrease in the absorption of Magnesium tris,moderate
Remikiren,Amlodipine,CC(C)(C)S(=O)(=O)CC(CC1=CC=CC=C1)C(=O)NC(CC2=CN=CN2)C(=O)NC(CC3CCCCC3)C(C(C4CC4)O)O,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,Remikiren may increase the hypotensive activities of Amlodipine.,dangerous
Fenofibric acid,Ursodeoxycholic acid,CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,The therapeutic efficacy of Ursodeoxycholic acid can be decreased when used in c,mild
Ramipril,Naftifine,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,CN(CC=CC1=CC=CC=C1)CC2=CC=CC3=CC=CC=C32,The risk or severity of adverse effects can be increased when Ramipril is combin,dangerous
Bupropion,Erythromycin,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,The metabolism of Erythromycin can be decreased when combined with Bupropion.,moderate
Hydrochlorothiazide,Linagliptin,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,The therapeutic efficacy of Linagliptin can be decreased when used in combinatio,mild
Argatroban,Fluconazole,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,The metabolism of Fluconazole can be decreased when combined with Argatroban.,moderate
Chlorpheniramine,Venlafaxine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,The metabolism of Venlafaxine can be decreased when combined with Chlorphenirami,moderate
Boceprevir,Nelfinavir,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,The serum concentration of Nelfinavir can be decreased when it is combined with ,moderate
Calcitriol,Rucaparib,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,The metabolism of Rucaparib can be decreased when combined with Calcitriol.,moderate
Histamine,Dosulepin,C1=C(NC=N1)CCN,CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31,The metabolism of Dosulepin can be decreased when combined with Histamine.,moderate
Sacubitril,Sulfasalazine,CCOC(=O)C(C)CC(CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)O,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,The risk or severity of adverse effects can be increased when Sacubitril is comb,dangerous
